sum(views),canal
14560706,DramaAlert
14426167,Dankev
14371517,"Kidd Keo"
14364586,"Juan De Dios Pantoja"
14244079,"Televisa Telenovelas"
14080324,"Stygma Beast"
14042085,ChainsmokersVEVO
14011486,HRNotas
13998943,"Fred Lammie"
13594224,"Venga La AlegrÃ­a"
13459102,Diplo
13446641,KendrickLamarVEVO
13432309,"Dettol India"
13277353,"Screen Junkies"
13138166,VIRAL
13114931,Blossom
13089644,"Cobra Kai"
13031422,"Daniel Saavedra"
12958347,"Las Estrellas"
12937886,"Guardian News"
12927720,ThaliaVEVO
12750852,"Curiosidades con Mike"
12659243,"NilcoBax â„¦"
12625562,Impulse
12504447,"Televisa Deportes"
12491457,Ventaneando
12479871,Tuitealo
12464288,"The Weeknd"
12416827,"LA LATA"
12415779,ShawnMendesVEVO
12414111,"ORJuanAlejandro - YouTube"
12286940,GianlucaVacchiVEVO
12174060,"Crusher Mx"
12098442,TroyeSivanVEVO
12044489,Disneyâ€¢Pixar
11954324,MissaSinfonia
11946293,"TRYANGLE FILMS"
11897565,"The Official PokÃ©mon YouTube channel"
11737837,"WorldMusic TV"
11707308,VideosTrendy
11549721,"Troom Troom"
11521077,"patty dragona"
11509690,TrailersTC
11508149,"Sofia Castro"
11424437,"marianna lara"
11389456,UbisoftSpain
11371874,"Tops Al Chile!"
11198890,"Unbox Therapy"
11185526,MILENIO
11183075,"VIDEOS VIRALES"
11099992,CelineDionVEVO
11025918,piso21music
10951546,"AF FOOTBALL"
10916640,"Oraciones en video"
10910537,Salomundo
10874952,"HotSpanish Music"
10858200,"De viral Tops"
10620019,JenniferLopezVEVO
10578423,"Sony Music India"
10574101,"Update Music TV"
10519607,"Beto Sierra"
10509758,CaseyNeistat
10494860,"MasterChef 2017"
10491752,BuzzFeedBlue
10463526,Duki
10327662,Wrsh98
10301993,MusicFans
10236562,"oddlysatisfying videos"
10210494,Sidemen
10183585,"Sports Time Mx"
10155325,SandraCiresArt
10114220,"Javier Ramirez"
10107043,"Chino Vj Plus"
10081864,RiceGum
10053106,"Estadio Videos"
9971151,Drawblogs
9968605,HowToBasic
9929433,"Lola Land"
9909959,anzu361
9885311,QPark
9856861,AlexSensationVEVO
9637558,"The Youman Show - EL CANAL DE LAS LOCURAS"
9529176,"FOX Sports MX"
9442628,"Univision Noticias"
9390172,"Mike Austin"
9310449,SiaVEVO
9299576,BLACKPINK
9275412,FifthHarmonyVEVO
9191079,"Legendary Football"
9189183,"abimanyu 9/4"
9183084,GEazyMusicVEVO
9163805,ImagineDragonsVEVO
9163705,"Futbol En Vivo"
9135885,"Encanta MÃºsica"
9045681,"Club AmÃ©rica"
8996311,BreakMan
8958510,"Guntur Talkies"
